JUDUL,ISBN,TAHUN TERBIT,STOK,HARGA
Perkembangan Pengelolaan Industri Akomodasi dan Restoran (Jilid II),9798140982,1999,5,0
Pengantar Pastry & Bakery,9786025470417,0,5,0
Pengetahuan Bar,9786025470462,0,3,0
Pengetahuan Minuman,9786025470455,0,3,0
Manajemen Koperasi dan UMKM,9786238157235,2023,3,0
Mengenal Bisnis Kuliner,9786233426947,2023,3,0
BUKU PINTAR SERI SENIOR,9789790255654,2008,5,0
Handbook of Climate Change Mitigation and Adaptation,9783030725808,2022,1,0
Digital Agriculture,9783031435478,2024,1,0
Frontier Technologies for Crop Improvement,9789819946723,2024,1,0
"Tillage Machinery—Passive, Active and Combination",9789819963300,2024,1,0
Plant tissue Culture (Techniques and Experiments),9780124159204,2024,1,0
Plant Biotechnology and Agriculture,9780123814661,2024,1,0
Dasar-Dasar Agronomi,9786020613802,2024,0,0
Botani Tumbuhan Tinggi,9786232281462,2024,0,0
Genetika Tumbuhan,9786233590099,2024,0,0
Dasar-dasar Fisiologi Tumbuhan,9794213772,2024,0,0
Handbook of Organic Farming,9789350304921,2024,0,0
Manajemen Sistem Informasi; Konsep & Implementasi (Tinjauan Praktisi Manajemen),9786232288867,2021,2021,0
Merancang Energi Masa Depan dengan Biodiesel,9786230104541,2020,2020,0
PENGANTAR SISTEM PENGENDALIAN MANAJEMEN TEORI DAN APLIKASI,97862337 25408,0,0,0
"MANAJEMEN PRODUKSI DAN OPERASI “Mengubah Tantangan Menjadi Peluang Keberhasilan""",9786238418084,2023,2023,0
PROSES MANUFAKTUR Operasi Pemesinan dan Perakitan,9786233295260,2021,2021,0
MONOGRAF TUBRUKAN KAPAL DALAM KAITANNYA DENGAN INDUSTRI PELAYARAN,9786233294850,2021,2021,0
BANGUNAN KAPAL DAN STABILITAS,9786238177851,2023,2023,0
Teori dan Aplikasi Elemen Mekanik Teknik Mesin,9786235690032,2022,2022,0
"Teknik Pembelajaran Model dan Simulasi Komputer (MOSI) Inventor Untuk Teknik Mesin :Merancang Sketsa, Pemodelan 3D, Assembly dan Exploded View",9786238075072,2023,2023,0
"Autodesk Inventor Untuk Teknik Mesin :Merancang Sketsa, Pemodelan 3D, Assembly dan Exploded View",9786024628116,2021,2021,0
Korosi Perkapalan,9786024739812,2023,2023,0
Perancangan dan Analisis Struktur Beton Bertulang 1,9786023868551,2020,2020,0
BAHAN AJAR STRUKTUR BETON BERTULANG I,9786231144669,2024,2024,0
KONSTRUKSI BANGUNAN RUMAH TAHAN GEMPA,9786238364633,2023,2023,0
Analisis Dinamika Struktur dan Aplikasinya di Bidang Teknik Sipil,9786233590983,2022,2022,0
Panduan Praktikum Mesin Listrik Dasar dan Mesin Listrik Lanjut: Laboratorium Teknik Tenaga Listrik,9786023869077,2020,2020,0
Stabilisasi Tanah Untuk Perkerasan Jalan Raya; Edisi Kedua,9789794207314,2022,2022,0
Teknik Pengelasan Berstandar Nasional,9786233298414,2022,2022,0
Pengantar Metode Komputasi: Untuk Sains Dan Teknik Edisi Kedua,9786233591591,2023,2023,0
"Perilaku Sambungan Struktur, Aplikasi pada Rekayasa Kayu dan Bambu (Bambu Laminasi)",9786237889137,2020,2020,0
Etika Pengembangan Agrowisata Pada Kawasan Perbatasan Hutan Konservasi,9786230215803,2020,2020,0
Rekayasa Penyediaan Air Bersih di Wilayah Pegunungan,9786236813232,2023,2023,0
"Hidrologi, Metode Analisis dan Tool untuk Interpretasi Hidrograf Aliran Sungai",9786022178101,2022,2022,0
Manajemen Proyek Dalam Rekayasa Perangkat Lunak (RPL),9786230257506,2022,2022,0
STRATEGI MANAJEMEN PROYEK BERBASIS STUDI KASUS,9786231140166,2023,2023,0
Dasar-Dasar Manajemen Industri Peternakan,9786232965232,2022,2022,0
Geosintetik Untuk Rekayasa Jalan Raya: Perancangan dan Aplikasi Edisi Ketiga,9786233591508,2023,2023,0
Perancangan Sistem Cakar Ayam Modifikasi: Untuk Perkerasan Jalan Raya Edisi Ketiga,9786233591065,2022,2022,0
Analisis Keandalan Struktur,9786230104152,2021,2021,0
Teknik Perkerasan Jalan Lentur,9786236433799,2022,2022,0
Bahan Bangunan,9786236433997,2022,2022,0
Anggaran Biaya Proyek Jalan Raya,9786232287884,2020,2020,0
Sistem Kendali Proses Industri,9786230108419,2020,2020,0
Pengetahuan Patiseri dan Bakeri,9786232317833,2021,2021,0
Pengemasan dan Penyimpanan Bahan Pangan Edisi 2,9786232289024,2021,2021,0
Teknologi Pengolahan Teh dan Minuman Penyegar,9786025876752,2021,2021,0
AKUNTANSI KOPERASI DAN UMKM TEORI DAN PRAKTIK,9786232316300,2020,2020,0
"Teknologi Pangan Lokal : Kripik Petos, Tahu Susu, Kerupuk Rambak, Sagon Tungku, Carang Madu, Tiwul, Kue Wajik & Asinan",9786236140833,2021,2021,0
Buku Ajar: konsep teknologi informasi,9786233650397,2021,2021,0
Manajemen Perencanaan Transportasi,9786231142252,2023,2023,0
MANAJEMEN OPERASIONAL BERBANTUAN PROGRAM POM-QM FOR WINDOWS,9786234951332,2022,2022,0
"E-Marketing: Teori, Studi Kasus, dan Solusi dalam Bisnis",9786235851174,2023,2023,0
Statistika Dengan Aplikasi Eviews Referensi Olah Data Penelitian,9786237498919,2021,2021,0
Manajemen Kinerja,9786237498629,2020,2020,0
MANAJEMEN SUMBER DAYA MANUSIA SUATU PENDEKATAN FUNGSIONAL,9786232314948,2022,2022,0
PENGELOLAAN SUMBER DAYA MANUSIA,9786024259518,0,0,0
"MANAJAMEN SDM: Teori dan Aplikasi   pada Bank
Umum Syariah",9786232314153,2020,2020,0
E-HRM Electronic Human Resources Management ( Manajemen Sumber Daya Manusia Elektronik ) Dalam Perspektif Organisasi Bisnis,9786235690223,2023,2023,0
Inovasi Teknologi Tepat Guna; Dua Puluh Pengolahan Pangan dan Hasil Pertanian yang Sederhana dan Bermanfaat Bagi Masyarakat,9786233765138,2023,2023,0
Perancangan Mesin Pelunak Serat Daun Doyo,9786231140173,2023,2023,0
SPM : Kaya Dari Bisnis Tokek,9786029888386,2020,2020,0
Produksi Tanaman Buah,9786232288386,2021,2021,0
Leguminosa Pohon,9786024624064,2020,2020,0
PENGEMBANGAN PLANT GROWTH REGULATOR AIR KELAPA FERMENTASI UNTUK TANAMAN,9786233299985,2022,2022,0
